City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Jamestown,US,63.72,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
Castro,BR,63.52,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
Khani,GE,62.17,few clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
Kargil,IN,62.89,clear sky,34.5667,76.1,Caravan Sarai
Plainview,US,64.45,broken clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
Airai,TL,64.04,broken clouds,-8.9266,125.4092,Juvinal Martin
Selkirk,CA,62.08,scattered clouds,50.1436,-96.8845,Canalta Hotel Selkirk
Esperance,AU,62.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
Lompoc,US,61.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
Altona,DE,61.14,clear sky,53.55,9.9333,Clipper Elb-Lodge
Hastings,GB,62.91,overcast clouds,50.8552,0.5729,Zanzibar Hotel
Sydney,AU,63.72,broken clouds,-33.8679,151.2073,The Grace Sydney
Staszów,PL,60.71,overcast clouds,50.5631,21.1659,"Hotel Rytwiany ""Pałac"""
Saint George,US,63.19,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
Clarence Town,AU,64.94,overcast clouds,-32.5833,151.7833,River Downs Cottage
Shahrud,IR,64.08,few clouds,36.4182,54.9763,Royal Hotel
Arys,KZ,61.02,broken clouds,42.4252,68.795,Gostinitsa
Zhangye,CN,63.54,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
Novomikhaylovskiy,RU,62.53,few clouds,44.2581,38.8578,Hotel Calypso
Broome,US,61.84,fog,42.2506,-75.833,Chenango Valley State Park
Clacton-on-Sea,GB,63.09,overcast clouds,51.7897,1.156,The Sandrock
Laguna,US,61.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
Shŭrob,TJ,61.09,overcast clouds,40.0491,70.5489,
Westport,US,62.98,clear sky,41.1415,-73.3579,The Westport Inn
Pierre,US,64.06,clear sky,44.3683,-100.351,Ramkota Hotel
Newcastle,AU,64.78,broken clouds,-32.9272,151.7765,NOAH'S on the beach
Penzance,GB,61.81,broken clouds,50.1186,-5.5371,Artist Residence Penzance
Riwaka,NZ,60.01,overcast clouds,-41.0833,173.0,Motueka Top 10 Holiday Park
Margate,GB,62.69,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
Gimli,CA,60.82,scattered clouds,50.6336,-96.9907,Lakeview Gimli Resort
Charlestown,AU,64.81,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
Hualmay,PE,61.61,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
Pisco,PE,61.02,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
Nevşehir,TR,60.01,clear sky,38.9167,34.6667,
Flinders,AU,62.2,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
Yangi Marg`ilon,UZ,62.02,overcast clouds,40.4272,71.7189,Ikathouse
Geraldton,AU,63.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
Den Helder,NL,64.06,overcast clouds,52.9599,4.7593,Hotel Den Helder
Dragør,DK,61.32,few clouds,55.5946,12.6664,Zleep Hotels
Wolgast,DE,60.82,broken clouds,54.05,13.7667,Zum Alten Schweden
Tawang Town,IN,62.22,broken clouds,27.5833,91.8667,Hotel Mount View
Chihuahua,MX,61.29,few clouds,28.5,-106.0,
Inverell,AU,62.11,overcast clouds,-29.7833,151.1167,Sapphire City Motor Inn
Emporia,US,62.51,fog,38.4039,-96.1817,Candlewood Suites Emporia
Noumea,NC,64.38,clear sky,-22.2763,166.4572,Hôtel Le Lagon
Imbituba,BR,62.49,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
Strijen,NL,63.01,overcast clouds,51.7452,4.5508,Hotel-Restaurant de Hoogt
Zhicheng,CN,61.23,broken clouds,30.2956,111.5047,Wangjiang Building
Tocopilla,CL,62.56,broken clouds,-22.092,-70.1979,Hotel Galvarino
